topic_name,topic_name_image_url
testosterone blood test,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcSRUfsXIw-xkKf2yK8LYbsCbh2uKNySzBuf5b92lFVcpuVBBdQA0qUNQ6Dg3shRvZm9OUFiRyWv9WSNSFBjWY32y5f-NGdpRv74yTXuCep1pLBQaoCYOFIk
testosterone blood test,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcTvSGpBjPzyWegz5sMXJNYwUO1iYiVAKz3_VHnJVY0Oi3w4yS-NUor6rdwvgixru8HaV0xdkdoe9ubNKgEFWwa1S7URmtdiufEaTgfYein-iSvR8qzLCzqGsoo
testosterone blood test,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcSB_6NF1PUF-DqW-rxsXqpjXDyxSii9zD9Vc08DoNA52UpKvfpU7kGMHjcfJgKTu4y35F_0JZu8U3rhYV3pt_Qalo0zelXZxQtvPHgqJDk
testosterone blood test,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcTy7wKpLuYZWF4CQOCxaowh5wr-7Vle0NqKoOS_0vlUIqhie9rjg292RJmmjtir9aLl3PzqUwSZpzf6Otd6KoHgNHoBtCc4GupxpD2966O5
testosterone blood test,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcSKNtaTewudSQHNVTvw-ZfnWslqcZKkk0xrQiKwks0KxC4Bv8O_UYRB_pycHS0bbIJsTbTlTl6Osr9qjEjLOQWRA6w4cNBPyjOtuWKrz7HPDlpj1THnq6IxUg
testosterone blood test,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcR95hc6oyrsj4c8-Zc2WT2yBaBRWdjZPe5cVZ0H_odkd9h4IYXOK1b-XRnqCPrc--HFfGIXw7A4Cgtpb1p_jsCdQGBJGhzvZeP6rcCIRvMa
testosterone blood test,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcSQAJoCETCCqnmFl1TL-WgRVEks3pbLPkqw2l6gXxq_nKPUynH2cqrUHiOjRAcfNbWl12fGPNmiW5dQd0-pQdKnpUVXC-MtxA
testosterone blood test,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcR0AsBn1eyZgIqfzkvaGFopTuZnITB4Ev2EQFhU8uTNGpA8-F3oVxcX46HmZ_rMuxH4_BBmMxdbFKeoQUkYXpLZTSihz7dccg
testosterone blood test,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcRnME9Pr3MaBPp9MiSrm4b8nNvJwr58KJY-HvVJe9S1fi1hLMykB2kVHAcsiw47RJASdwQXhNmw-B7rbHkdUyLW2IUMbphXpznRL7AjhWHN14FEH4fT0xlJ
testosterone blood test,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcQvPoHtD04SIhIxD5yJtDobTo2diqoxb5Uh4xOnHM_sImhcCl4JSRwd4b5cTClhQdFl7MHuTEX5MNJVZT_JveLO2N47wYv9DHsqJZw0MsL8YFwtenlYarKc
testosterone blood test,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcQcdHOvTsNX7R8Ub9vWdZpIdG-iRnm27cjI42XSf0cekNGvlEEK6xQFKabx1jlbmynyXeQ4WIyaqt4_d3rJ0jzmHFogCe1tIA
